frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
4809.58,2.62,-1.00,2.61,-1.01,1.00,1.09,2.31,3.62,3.61,3.62
4857.67,2.52,-1.01,2.52,-1.00,1.00,1.16,2.30,3.52,3.52,3.53
4906.25,2.43,-1.00,2.44,-0.99,1.00,1.22,2.30,3.43,3.44,3.44
4955.31,2.36,-0.98,2.34,-1.00,1.00,1.28,2.29,3.36,3.35,3.34
5004.87,2.25,-1.00,2.24,-1.01,1.01,1.35,2.29,3.26,3.26,3.25
5054.91,2.11,-1.05,2.13,-1.03,1.03,1.42,2.29,3.15,3.16,3.17
5105.46,2.02,-1.07,2.01,-1.08,1.06,1.48,2.29,3.08,3.08,3.09
5156.52,1.90,-1.12,1.89,-1.12,1.11,1.56,2.29,3.01,3.00,3.02
5208.08,1.76,-1.17,1.76,-1.17,1.17,1.63,2.29,2.93,2.93,2.94
5260.16,1.61,-1.25,1.61,-1.25,1.25,1.71,2.30,2.86,2.86,2.86
5312.77,1.44,-1.34,1.43,-1.35,1.36,1.79,2.31,2.80,2.79,2.78
5365.89,1.22,-1.47,1.22,-1.47,1.50,1.88,2.32,2.72,2.72,2.70
5419.55,0.99,-1.63,0.99,-1.63,1.67,1.97,2.34,2.65,2.66,2.62
5473.75,0.73,-1.82,0.71,-1.83,1.86,2.08,2.35,2.58,2.57,2.55
5528.49,0.42,-2.05,0.40,-2.06,2.07,2.18,2.37,2.49,2.48,2.47
5583.77,0.05,-2.34,0.06,-2.33,2.31,2.30,2.39,2.36,2.37,2.39
5639.61,-0.30,-2.63,-0.31,-2.63,2.56,2.42,2.42,2.25,2.25,2.33
5696.00,-0.68,-2.94,-0.69,-2.95,2.82,2.56,2.44,2.14,2.13,2.26
5752.96,-1.09,-3.29,-1.10,-3.30,3.08,2.70,2.47,1.99,1.99,2.20
5810.49,-1.52,-3.66,-1.53,-3.66,3.35,2.86,2.51,1.83,1.82,2.14
5868.60,-1.97,-4.05,-1.96,-4.04,3.61,3.03,2.54,1.64,1.65,2.08
5927.28,-2.40,-4.42,-2.39,-4.41,3.87,3.22,2.58,1.47,1.48,2.02
5986.56,-2.84,-4.78,-2.82,-4.77,4.13,3.41,2.62,1.29,1.31,1.95
6046.42,-3.27,-5.14,-3.25,-5.12,4.40,3.63,2.66,1.13,1.15,1.87
6106.89,-3.73,-5.51,-3.68,-5.46,4.68,3.86,2.71,0.95,1.00,1.78
6167.96,-4.17,-5.86,-4.09,-5.78,4.95,4.11,2.76,0.78,0.86,1.69
6229.64,-4.59,-6.19,-4.48,-6.08,5.21,4.36,2.81,0.62,0.73,1.60
6291.93,-5.01,-6.52,-4.83,-6.35,5.44,4.63,2.87,0.43,0.60,1.51
6354.85,-5.41,-6.83,-5.15,-6.58,5.63,4.91,2.92,0.22,0.49,1.43
6418.40,-5.77,-7.11,-5.39,-6.76,5.79,5.18,2.98,0.02,0.39,1.35
6482.58,-6.09,-7.37,-5.58,-6.87,5.91,5.46,3.05,-0.18,0.33,1.28
6547.41,-6.36,-7.55,-5.69,-6.90,5.99,5.69,3.11,-0.37,0.29,1.20
6612.88,-6.67,-7.79,-5.77,-6.91,6.03,5.93,3.18,-0.64,0.26,1.12
6679.01,-6.98,-8.02,-5.82,-6.87,6.05,6.08,3.24,-0.93,0.23,1.04
6745.80,-7.43,-8.39,-5.88,-6.85,6.07,6.23,3.31,-1.36,0.19,0.96
6813.26,-7.95,-8.82,-5.96,-6.83,6.09,6.25,3.38,-1.86,0.14,0.87
6881.39,-8.75,-9.52,-6.06,-6.83,6.10,6.27,3.45,-2.65,0.04,0.77
6950.21,-9.68,-10.35,-6.15,-6.82,6.08,6.15,3.52,-3.60,-0.06,0.68
7019.71,-10.82,-11.41,-6.15,-6.73,6.01,6.03,3.59,-4.82,-0.15,0.59
7089.91,-11.88,-12.38,-6.02,-6.50,5.86,5.80,3.65,-6.02,-0.16,0.50
7160.81,-12.56,-12.96,-5.75,-6.11,5.65,5.57,3.72,-6.92,-0.10,0.40
7232.41,-12.88,-13.17,-5.35,-5.60,5.37,5.29,3.78,-7.51,0.02,0.29
7304.74,-12.67,-12.85,-4.93,-5.07,5.04,5.01,3.84,-7.63,0.11,0.18
7377.79,-12.02,-12.09,-4.55,-4.57,4.68,4.72,3.89,-7.34,0.13,0.07
7451.56,-11.36,-11.32,-4.23,-4.14,4.30,4.43,3.93,-7.06,0.07,-0.04
7526.08,-10.64,-10.48,-4.00,-3.78,3.94,4.16,3.97,-6.70,-0.06,-0.15
7601.34,-9.98,-9.73,-3.84,-3.51,3.61,3.89,4.01,-6.37,-0.23,-0.25
7677.35,-9.30,-8.95,-3.75,-3.30,3.34,3.65,4.03,-5.96,-0.41,-0.35
7754.13,-8.76,-8.31,-3.72,-3.14,3.15,3.42,4.05,-5.61,-0.57,-0.45
7831.67,-8.36,-7.81,-3.73,-3.03,3.02,3.23,4.05,-5.34,-0.71,-0.55
7909.98,-8.17,-7.52,-3.77,-2.94,2.92,3.04,4.05,-5.25,-0.85,-0.65
7989.08,-8.16,-7.40,-3.81,-2.87,2.84,2.88,4.03,-5.32,-0.98,-0.75
8068.98,-7.97,-7.11,-3.86,-2.79,2.76,2.73,4.01,-5.21,-1.10,-0.86
8149.67,-7.51,-6.53,-3.91,-2.71,2.69,2.61,3.97,-4.81,-1.21,-0.97
8231.16,-6.75,-5.66,-3.95,-2.62,2.62,2.50,3.92,-4.13,-1.33,-1.09
8313.47,-5.80,-4.60,-3.99,-2.54,2.53,2.41,3.86,-3.27,-1.45,-1.20
8396.61,-4.73,-3.42,-4.02,-2.45,2.44,2.32,3.79,-2.29,-1.58,-1.31
8480.57,-3.64,-2.22,-4.05,-2.35,2.34,2.26,3.71,-1.30,-1.71,-1.42
8565.38,-2.27,-0.72,-4.08,-2.25,2.24,2.19,3.62,-0.03,-1.84,-1.55
8651.03,-0.74,0.95,-4.09,-2.14,2.13,2.13,3.52,1.40,-1.96,-1.68
8737.54,0.81,2.62,-4.10,-2.02,2.02,2.07,3.42,2.83,-2.08,-1.81
8824.92,2.51,4.45,-4.11,-1.90,1.90,2.01,3.30,4.41,-2.20,-1.94
8913.17,4.24,6.31,-4.11,-1.79,1.79,1.94,3.18,6.03,-2.33,-2.07
9002.30,5.97,8.16,-4.12,-1.67,1.67,1.85,3.06,7.64,-2.45,-2.19
9092.32,7.43,9.77,-4.13,-1.55,1.56,1.77,2.93,8.98,-2.57,-2.34
9183.25,8.39,10.88,-4.13,-1.44,1.45,1.65,2.80,9.84,-2.69,-2.49
9275.08,8.71,11.36,-4.14,-1.33,1.34,1.53,2.66,10.06,-2.80,-2.64
9367.83,8.45,11.23,-4.15,-1.22,1.24,1.38,2.53,9.69,-2.91,-2.78
9461.51,7.81,10.75,-4.17,-1.13,1.13,1.22,2.39,8.94,-3.04,-2.93
9556.12,6.97,10.06,-4.18,-1.03,1.02,1.04,2.25,7.99,-3.17,-3.09
9651.68,6.05,9.32,-4.19,-0.93,0.90,0.86,2.11,6.95,-3.29,-3.27
9748.20,5.10,8.54,-4.18,-0.81,0.78,0.66,1.97,5.89,-3.40,-3.44
9845.68,4.22,7.84,-4.16,-0.68,0.67,0.46,1.83,4.89,-3.49,-3.62
9944.14,3.31,7.11,-4.12,-0.54,0.55,0.26,1.70,3.86,-3.57,-3.79
10043.58,2.29,6.25,-4.07,-0.39,0.43,0.06,1.56,2.72,-3.63,-3.96
10144.02,1.26,5.39,-4.14,-0.30,0.32,-0.14,1.42,1.57,-3.82,-4.13
10245.46,0.22,4.52,-4.22,-0.20,0.21,-0.34,1.29,0.43,-4.01,-4.30
10347.91,-0.74,3.73,-4.29,-0.10,0.10,-0.52,1.15,-0.64,-4.20,-4.47
10451.39,-1.62,3.03,-4.38,-0.01,-0.00,-0.71,1.02,-1.62,-4.38,-4.64
10555.91,-2.52,2.29,-4.46,0.09,-0.10,-0.88,0.89,-2.62,-4.55,-4.81
10661.46,-3.39,1.60,-4.54,0.19,-0.19,-1.05,0.76,-3.59,-4.73,-4.99
10768.08,-4.19,1.00,-4.63,0.29,-0.29,-1.21,0.63,-4.48,-4.91,-5.19
10875.76,-4.84,0.54,-4.72,0.38,-0.38,-1.37,0.50,-5.22,-5.10,-5.38
10984.52,-5.36,0.22,-4.81,0.48,-0.48,-1.51,0.37,-5.85,-5.29,-5.58
11094.36,-5.75,0.03,-4.90,0.58,-0.58,-1.66,0.24,-6.33,-5.48,-5.78
11205.31,-6.20,-0.22,-4.99,0.68,-0.68,-1.79,0.11,-6.88,-5.67,-5.97
11317.36,-6.55,-0.35,-5.09,0.78,-0.78,-1.92,-0.02,-7.33,-5.87,-6.19
11430.53,-6.87,-0.45,-5.18,0.88,-0.88,-2.04,-0.15,-7.75,-6.07,-6.41
11544.84,-7.00,-0.37,-5.28,0.98,-0.98,-2.16,-0.28,-7.98,-6.27,-6.62
11660.29,-6.98,-0.13,-5.38,1.09,-1.09,-2.27,-0.42,-8.06,-6.47,-6.84
11776.89,-6.82,0.25,-5.49,1.19,-1.19,-2.38,-0.55,-8.01,-6.67,-7.06
11894.66,-6.71,0.54,-5.59,1.29,-1.29,-2.49,-0.69,-8.00,-6.88,-7.25
12013.60,-6.84,0.62,-5.70,1.39,-1.39,-2.59,-0.83,-8.23,-7.09,-7.45
12133.74,-7.57,0.08,-5.81,1.50,-1.50,-2.68,-0.97,-9.06,-7.31,-7.64
12255.08,-8.89,-1.06,-5.92,1.60,-1.60,-2.77,-1.12,-10.49,-7.52,-7.83
12377.63,-9.77,-1.75,-6.03,1.71,-1.71,-2.86,-1.27,-11.48,-7.74,-8.02
12501.41,-9.46,-1.25,-6.15,1.81,-1.81,-2.94,-1.43,-11.27,-7.96,-8.21
12626.42,-8.70,-0.30,-6.26,1.92,-1.92,-3.02,-1.59,-10.62,-8.18,-8.40
12752.68,-7.88,0.71,-6.38,2.02,-2.02,-3.10,-1.76,-9.90,-8.40,-8.59
12880.21,-7.33,1.45,-6.50,2.13,-2.13,-3.17,-1.94,-9.46,-8.63,-8.78
13009.01,-7.16,1.81,-6.62,2.23,-2.23,-3.24,-2.12,-9.40,-8.86,-8.97
13139.10,-7.21,1.95,-6.75,2.34,-2.34,-3.31,-2.32,-9.56,-9.09,-9.16
13270.49,-7.48,1.86,-6.87,2.45,-2.45,-3.37,-2.52,-9.93,-9.32,-9.34
13403.20,-7.85,1.64,-7.00,2.56,-2.56,-3.43,-2.74,-10.41,-9.56,-9.49
13537.23,-8.18,1.47,-7.13,2.67,-2.67,-3.49,-2.96,-10.85,-9.80,-9.65
13672.60,-8.46,1.35,-7.26,2.78,-2.78,-3.55,-3.21,-11.24,-10.04,-9.81
13809.33,-8.58,1.39,-7.40,2.88,-2.88,-3.60,-3.47,-11.47,-10.28,-9.97
13947.42,-8.86,1.27,-7.53,2.99,-2.99,-3.65,-3.75,-11.86,-10.53,-10.13
14086.90,-9.10,1.18,-7.67,3.11,-3.11,-3.70,-4.04,-12.20,-10.78,-10.28
14227.77,-9.07,1.34,-7.81,3.22,-3.22,-3.74,-4.36,-12.28,-11.03,-10.41
14370.04,-8.64,1.91,-7.95,3.33,-3.33,-3.79,-4.69,-11.97,-11.28,-10.55
14513.74,-8.17,2.52,-8.09,3.44,-3.44,-3.83,-5.05,-11.61,-11.53,-10.69
14658.88,-8.60,2.23,-8.24,3.55,-3.55,-3.87,-5.42,-12.15,-11.79,-10.82
14805.47,-9.90,1.06,-8.39,3.66,-3.66,-3.90,-5.82,-13.57,-12.05,-10.96
14953.52,-10.96,0.14,-8.54,3.78,-3.78,-3.94,-6.22,-14.74,-12.31,-11.10
15103.06,-10.87,0.40,-8.69,3.89,-3.89,-3.97,-6.64,-14.76,-12.58,-11.27
15254.09,-9.66,1.79,-8.84,4.01,-4.01,-4.00,-7.05,-13.67,-12.84,-11.45
15406.63,-8.36,3.28,-8.99,4.12,-4.12,-4.03,-7.44,-12.48,-13.11,-11.63
15560.70,-7.28,4.54,-9.15,4.23,-4.23,-4.06,-7.79,-11.52,-13.39,-11.82
15716.30,-6.66,5.34,-9.31,4.35,-4.35,-4.08,-8.06,-11.01,-13.66,-12.00
15873.47,-6.45,5.74,-9.47,4.47,-4.47,-4.10,-8.25,-10.91,-13.94,-12.18
16032.20,-6.70,5.70,-9.63,4.58,-4.58,-4.13,-8.28,-11.28,-14.21,-12.39
16192.52,-7.20,5.48,-9.80,4.70,-4.70,-4.15,-8.22,-11.90,-14.50,-12.68
16354.45,-7.57,5.40,-9.96,4.82,-4.82,-4.17,-7.96,-12.39,-14.78,-12.97
16517.99,-7.89,5.37,-10.13,4.93,-4.93,-4.18,-7.64,-12.83,-15.07,-13.26
16683.17,-8.25,5.30,-10.30,5.05,-5.05,-4.20,-7.17,-13.31,-15.35,-13.55
16850.01,-8.96,4.88,-10.47,5.17,-5.17,-4.22,-6.68,-14.13,-15.64,-13.84
17018.51,-9.83,4.32,-10.65,5.29,-5.29,-4.23,-6.12,-15.12,-15.94,-14.15
17188.69,-10.72,3.92,-10.82,5.41,-5.41,-4.24,-5.57,-16.13,-16.23,-14.63
17360.58,-11.36,3.75,-11.00,5.53,-5.53,-4.26,-5.02,-16.89,-16.53,-15.10
17534.18,-11.67,3.92,-11.18,5.65,-5.65,-4.27,-4.49,-17.32,-16.83,-15.58
17709.53,-11.99,4.06,-11.36,5.77,-5.77,-4.28,-3.99,-17.76,-17.13,-16.05
17886.62,-12.12,4.41,-11.54,5.89,-5.89,-4.29,-3.52,-18.02,-17.44,-16.53
18065.49,-12.24,4.86,-11.73,6.02,-6.02,-4.30,-3.10,-18.26,-17.74,-17.10
18246.14,-12.35,5.49,-11.92,6.14,-6.14,-4.31,-2.71,-18.49,-18.05,-17.84
18428.60,-12.50,6.08,-12.11,6.26,-6.26,-4.31,-2.36,-18.77,-18.37,-18.58
18612.89,-12.52,6.81,-12.30,6.38,-6.38,-4.32,-2.04,-18.91,-18.68,-19.33
18799.02,-11.71,8.37,-12.49,6.51,-6.51,-4.33,-1.76,-18.21,-19.00,-20.07
18987.01,-11.64,9.17,-12.68,6.63,-6.63,-4.33,-1.50,-18.28,-19.32,-20.81
19176.88,-12.81,9.05,-12.88,6.76,-6.76,-4.34,-1.27,-19.56,-19.64,-21.85
19368.65,-14.32,8.60,-13.08,6.88,-6.88,-4.34,-1.07,-21.21,-19.96,-22.92
19562.33,-16.16,7.83,-13.28,7.01,-7.01,-4.34,-0.89,-23.16,-20.29,-23.98
19757.96,-17.81,7.24,-13.48,7.13,-7.13,-4.35,-0.71,-24.94,-20.62,-25.05
19955.54,-19.21,6.90,-13.69,7.26,-7.26,-4.35,-0.54,-26.47,-20.95,-26.11
